NICCode,Description
19209,"Manufacture of other petroleum n.e.c. (includes manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals)"
19204,Manufacture of hard-coal and lignite fuel briquettes
19203,Bottling of LPG/CNG
19202,Manufacture of paraffin wax
19201,"Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude petroleum or bituminous minerals"
19200,Manufacture of refined petroleum products
19109,"Manufacture of other coke oven products such as gas, crude coal and lignite tars etc."
19101,Production of coke and semi-coke products
19100,Manufacture of coke oven products
18200,Reproduction of recorded media
18129,Other service activities related to printing n.e.c.
18122,"Engraving, etching and block making etc."
18121,Book and other similar sheet binding on account of others
18120,Service activities related to printing
18119,Other printing activities like screen printing other than textile n.e.c.
18115,"Printing directly onto textiles, flexographic plastic, glass, metal, wood and ceramics"
18114,"Printing of bank notes, currency notes"
18113,"Printing of postage stams, taxation stamps, cheques and other security papers"
18112,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc."
18111,Printing of newspapers
18110,Printing
17099,Manufacture of other paper products n.e.c.
17097,Manufacture of carbon paper & stationary items
17096,Manufacture of wall paper
17095,"Manufacture of file cover/file boards, and similar articles."
17094,Manufacture of paper pulp articles other than containers (such as egg trays)
17093,"Manufacture of printing, writing and photocopying paper ready for use"
17092,"Manufacture of paper cups, saucers, plates, hoops, cones and other similar products"
17091,Manufacture of computer paper
17090,Manufacture of other articles of paper and paperboard
17029,Manufacture of other containers of paper and paperboard n.e.c.
17024,Manufacture of sacks and bags of paper
17023,Manufacture of card board boxes
17022,Manufacture of corrugated paper board containers
17021,Manufacture of corrugated paper and paperboard
17020,Manufacture of corrugated paper and paperboard and containers of paper and paperboard
17019,Manufacture of other primary paper materials including composite paper and paper board n.e.c.
17017,Manufacture of hard board including false board and chip board
17016,"Manufacture of paper board, straw board"
17015,Manufacture   of other   special   purpose   paper( stationary)
17014,Manufacture of packing paper
17013,Manufacture of paper and paper rolls not further processed
17012,Manufacture of news print
17011,Manufacture of pulp
17010,"Manufacture of pulp, paper and paperboard"
16299,Manufacture of other wood products n.e.c.
16297,Manufacture of products of pith and shalapith
16296,"Manufacture of articles made of palm leaf, dhak leaf, screw-pine leaf and khajoor leaf; articles of vegetables fibre etc,."
16295,Manufacture of broomsticks
16294,"Manufacture of various articles made of bamboo, cane and grass"
16293,Manufacture of wooden agricultural implements
16292,Manufacture of cork and cork products
16291,Manufacture of wooden industrial goods
16290,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
16239,"Manufacture of other wooden containers and products entirely or mainly of cane, rattan, bamboo, willow, fibre, leaves and grass n.e.c."
16233,"Manufacture of market basketry, grain storage bins and similar products made of bamboo or reed"
16232,Manufacture of plywood chests
16231,"Manufacture of wooden boxes, barrels, vats, tubs, packing cases etc."
16230,Manufacture of wooden containers
16229,Manufacture of builders’ carpentry and joinery n.e.c.
16222,"Manufacture of prefabricated buildings, or elements thereof, predominantly of wood"
16221,"Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue-laminated and metal connected, prefabricated wooden roof trusses, doors, windows, shutters and their frames, whether or not containing metal fittings, stairs, railings, wooden beadings and mouldings, shingles and shakes etc.]"
16220,Manufacture of builders’ carpentry and joinery
16219,Manufacture of other plywood products n.e.c.
16213,Manufacture of flush doors and other boards or panels
16212,Manufacture of particle board and fibreboard including densified wood
16211,Manufacture of ply wood and veneer sheets
16210,"Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and board"
16109,Activities related to saw milling and planing of wood n.e.c.
16103,Manufacture of wooden railway sleepers
16102,Manufacture of unassembled wooden flooring including parquet flooring
16101,Sawing and planing of wood
16100,Saw milling and planing of wood
15209,Manufacture of other footwear n.e.c.
15202,Manufacture of footwear made primarily of vulcalized or moulded rubber and plastic.
15201,"Manufacture of leather footwear such as shoes, sandals, chappals, leather-cum-rubber/plastic cloth sandles and chappals"
15200,Manufacture of footwear
15129,Manufacture of other consumer goods of leather and substitutes of leather
15123,Manufacture of saddlery and harness
15122,"Manufacture of purse, ladies’ handbags, artistic leather presented articles and novelties"
15121,"Manufacture of travel goods like suitcase, bags, holdalls etc."
15120,"Manufacture of luggage, handbags and the like, saddlery and harness"
15119,"Other tanning, curing, finishing, embossing etc. of leather"
15116,Embroidering and embossing of leather articles
15115,"Finishing of upper leather, lining leather and garment leather etc."
15114,"Scraping, currying, tanning, bleaching, shearing and plucking and dyeing of fur skins and hides with the hair on"
15113,Tanning and finishing of industrial leather
15112,Tanning and finishing of sole leather
15111,Flaying and curing of raw hides and skins
15110,Tanning and dressing of leather; dressing and dyeing of fur
14309,Manufacture of other knitted and crocheted apparel including hosiery
14301,"Manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape (pullovers, cardigans, jerseys, waistcoats and similar articles)"
14300,Manufacture of knitted and crocheted apparel
14209,Manufacture of other fur products n.e.c.
14202,Manufacture of fur and skin rugs and other similar articles
14201,Manufacture of wearing apparel and clothing accessories made of fur
14200,Manufacture of articles of fur
14109,Manufacture of wearing apparel n.e.c.
14105,Custom tailoring
14104,Manufacture of wearing apparel made of leather and substitutes of leather
14103,"Manufacture of hats, caps and other clothing accessories such as gloves, belts, ties, cravats, hairnets etc."
14102,Manufacture of rain coats of waterproof textile fabrics or plastic sheetings
14101,Manufacture of all types of textile garments and clothing accessories
14100,"Manufacture of wearing apparel, except fur apparel"
13999,Manufacture of other textiles/textile products n.e.c.
13998,Manufacture of waterproof textile excluding tarpulin
13997,"Manufacture of metallised yarn or gimped yarn, rubber thread or cord covered with textile material, textile yarn or strip impregnated, covered or sheathed with rubber or plastic"
13996,Manufacture of wadding of textile materials and articles of wadding such as sanitary napkins and tampoons
13995,"Manufacture of made-up canvas goods such tents, sails etc."
13994,Manufacture of gas mantles
13993,Manufacture of linolium and similar products
13992,Zari work and other ornamental trimmings
13991,Embroidery work and making of laces and fringes
13990,Manufacture of other textiles n.e.c.
13949,Manufacture of other cordage or rope n.e.c.
13946,"Manufacture of tapes, newar and wicks"
13945,"Manufacture of knotted netting of twine, cordage or rope (other than mosquito net)"
13944,Manufacture of rope and cordage made of synthetic material
13943,Manufacture of cordage or rope made of coir
13942,Manufacture of cordage or rope made of jute
13941,"Manufacture of thread, including thread ball making"
13940,"Manufacture of cordage, rope, twine and netting"
13939,Manufacture of other floor coverings n.e.c.
13935,"Manufacture of carpets, and other floor coverings made of jute, mesta and coir"
13934,Manufacture of carpets made of synthetic materials
13933,Manufacture of carpets and other floor coverings made of silk
13932,Manufacture of carpets and other floor coverings made of wool
13931,Manufacture of carpets and other floor coverings made of cotton
13930,Manufacture of carpets and rugs
13929,"Manufacture of other made-up textile articles, except apparel n.e.c."
13926,Manufacture of blankets
13925,Manufacture of tarpaulin
13924,"Manufacture of bedding, quilts pillows, sleeping bags etc."
13923,Manufacture of mosquito nets
13922,Manufacture of crocheted made up textile goods except apparel
13921,"Manufacture of curtains, bed covers and furnishings"
13920,"Manufacture of made-up textile articles, except apparel"
13919,Manufacture of other knitted and crocheted fabrics
13913,Manufacture of knitted and crocheted synthetic fabrics
13912,Manufacture of knitted and crocheted woolen fabrics
13911,Manufacture of knitted and crocheted cotton fabrics
13910,Manufacture of knitted and crocheted fabrics
13139,Other activities relating to finishing of textile n.e.c.
13136,Activity related to screen printing
13135,"Finishing of jute, mesta and other vegetable textiles fabrics"
13134,Finishing of man-made and blended man-made textiles.
13133,Finishing of wool and blended wool textiles.
13132,Finishing of silk and blended silk textiles.
13131,Finishing of cotton and blended cotton textiles.
13130,Finishing of textiles
13129,"Weaving of jute, mesta and other natural fibers including blended natural fibers n.e.c."
13124,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
13123,"Weaving, manufacture of wool and wool mixture fabrics."
13122,"Weaving, manufacture of silk and silk mixture fabrics."
13121,"Weaving, manufacture of cotton and cotton mixture fabrics."
13120,Weaving of textiles
13119,"Preparation and spinning of jute, mesta and other natural fibers includingblended natural fibers n.e.c.*Blended yarn/fabrics means, yarn/fabricscontaining more than 50% of one fiber."
13114,Preparation and spinning of man-made fiber including blended* man-made fiber
13113,"Preparation and spinning of wool, including other animal hair and blended* wool including other animal hair"
13112,Preparation and spinning of silk fiber including blended* silk
13111,Preparation and spinning of cotton fiber including blended* cotton
13110,Preparation and spinning of textile fibres
12009,Manufacture of other tobacco products including chewing tobacco n.e.c.
12008,Manufacture of pan masala and related products.
12007,Manufacture of catechu(katha) and chewing lime
12006,Manufacture of zarda
12005,Manufacture of snuff
12004,Manufacture of cigars and cheroots
12003,"Manufacture of cigarettes, cigarette tobacco"
12002,Manufacture of bidi
12001,Stemming and redrying of tobacco
12000,Manufacture of tobacco products
11049,Manufacture of other non-alcoholic beverages n.e.c.
11045,Manufacture of soft drinks
11044,Manufacture of ice
11043,Manufacture of mineral water
11042,Manufacture of synthetic flavoured concentrates and syrups
11041,Manufacture of aerated drinks
11040,Manufacture of soft drinks; production of mineral waters and other bottled waters
11039,Manufacture of malt liquors and malt n.e.c.
11033,Manufacture of malt
11032,Manufacture of malt liquors other than beer
11031,Manufacture of beer
11030,Manufacture of malt liquors and malt
11020,Manufacture of wines
11019,"Distilling, rectifying and blending of spirits"
11012,Manufacture of country liquor
11011,"Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, “mixed drinks” etc."
11010,"Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials"
10809,Manufacture of other animal feeds n.e.c.
10803,"Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc."
10802,Manufacture of poultry feed
10801,Manufacture of cattle feed
10800,Manufacture of prepared animal feeds
10799,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)"
10798,"Processing of salt into food-grade salt, e.g. iodized salt"
10797,"Manufacture of vitaminised high protein flour, frying of dal and other cereals"
10796,"Manufacture of papads, appalam and similar food products"
10795,Grinding and processing of spices
10794,Manufacture of malted foods including foods for infants and handicapped
10793,Processing of edible nuts
10792,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products"
10791,Processing and blending of tea including manufacture of instant tea
10790,Manufacture of other food products n.e.c.
10750,Manufacture of prepared meals and dishes
10740,"Manufacture  of  macaroni,  noodles,  couscous  and  similar  farinaceous products"
10739,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c."
10736,"Preserving in sugar of fruit, nuts, fruit peels and other parts of plants"
10735,Manufacture of chewing gum
10734,Manufacture sweetmeats includind dairy based sweetmeats
10733,Manufacture of sugar confectionery (except sweetmeats)
10732,Manufacture of chocolate and chocolate confectionery
10731,Manufacture of cocoa products
10730,"Manufacture of cocoa, chocolate and sugar confectionery"
10729,"Manufacture of sugar from other sources (juice of palm, suger beet etc.)"
10728,Manufacture of molasses
10727,Manufacture of `boora’ and candy from other than sugarcane
10726,Manufacture of `boora’ and candy from sugarcane
10725,Manufacture of `khandsari’ suger from other than sugarcane
10724,Manufacture of `khandsari’ sugar from sugarcane
10723,Manufacture of `gur’ from other than sugarcane
10722,Manufacture of `gur’ from sugarcane
10721,Manufacture or refining of sugar (sucrose) from sugercane
10720,Manufacture of sugar
10719,Manufacture of other bakery products n.e.c.
10712,"Manufacture of biscuits, cakes, pastries, rusks etc."
10711,Manufacture of bread
10710,Manufacture of bakery products
10629,Manufacture of other starch products n.e.c.
10626,Manufacture of corn oil
10625,Manufacture of tapioca and tapioca substitutes prepared from starch
10624,Manufacture of gluten
10623,"Manufacture of glucose, glucose syrup, maltose etc."
10622,Manufacture of sago and sago products
10621,"Manufacture of starches from rice, potatoes, maize etc."
10620,Manufacture of starches and starch products
10619,Other grain milling and processing n.e.c.
10618,"Manufacture of other readymade mixed powders like idli, gulabjamun etc."
10617,"Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits"
10616,Manufacture of cereal breakfast foods obtained by roasting or swelling cereal grains
10615,"Vegetable  milling (production  of  flour  or  meal  of  dried  leguminous vegetables(except dal), of roots or tubers, or of edible nuts)"
10614,"Grain milling other than wheat, rice and dal"
10613,Dal (pulses) milling
10612,Rice milling
10611,Flour milling
10610,Manufacture of grain mill products
10509,Manufacture of other dairy products n.e.c.
10505,"Manufacture of ice-cream, kulfi etc."
10504,"Manufacture of cream, butter, cheese, curd, ghee, khoya etc."
10503,Manufacture of baby milk foods
10502,"Manufacture of milk-powder, ice-cream powder and condensed milk except baby milk food"
10501,Manufacture of pasteurised milk whether or not in bottles/ polythene packs etc. (plain or flavoured)
10500,Manufacture of dairy products
10409,"Manufacture of other vegetable oil, animal oil and fats n.e.c"
10407,"Manufacture of non-defatted flour or meals of oilseeds, oilnuts or kernels"
10406,"Manufacture   of   oil   cakes   &   meals   incl.   residual   products,   e.g. Oleostearin,Palmstearin"
10405,Manufacture of non-edible animal oil and fats
10404,Manufacture of fish oil
10403,Manufacture of edible animal oils and fats
10402,Manufacture of vegetable oils and fats excluding corn oil
10401,Manufacture of hydrogenated oil and vanaspati ghee
10400,Manufacture of vegetable and animal oils and fats
10309,Preservation of fruit and vegetables n.e.c.
10308,Manufacture of potato flour & meals and prepared meals of vegetables
10307,Canning of fruits and vegetables
10306,"Manufacture of pickles, chutney etc."
10305,"Manufacture of sauces, jams, jellies and marmalades"
10304,"Manufacture of fruit or vegetable juices and their concentrates, squashes and powder"
10303,Radiation preservation of fruit and vegetables
10302,Artificial dehydration of fruit and vegetables
10301,Sun-drying of fruit and vegetables
10300,Processing and preserving of fruit and vegetables
10209,"Production, processing and preservation of other fish products n.e.c."
10207,Production of fishmeal for human consumption or animal feed
10206,Processing and canning of frog legs
10205,Processing and canning of fish
10204,Processing and preserving of fish crustacean and similar foods
10203,Radiation preservation of fish and similar food
10202,Artificial dehydration of fish and sea food
10201,Sun-drying of fish
10200,"Processing and preserving of fish, crustaceans and molluscs and products thereof"
10109,"Production, processing and preserving of other meat and meat products"
10108,Production and processing of animal offal
10107,Rendering of lard and other edible fats of animal origin
10106,Production of hides and skins originating from slaughterhouses
10105,"Preservation, Processing and canning of meat"
10104,"Poultry and other slaughtering, preparation"
10103,"Pork-slaughtering, preparation"
10102,"Beef-slaughtering, preparation"
10101,"Mutton-slaughtering, preparation"
10100,Processing and preserving of meat
09900,Support activities for other mining and quarrying
09104,Services incidental to on shore gas extraction
09103,Services incidental to off shore gas extraction
09102,Services incidental to on shore oil extraction
09101,Services incidental to off shore oil extraction
09100,Support activities for petroleum and natural gas mining
08999,"Mining of laterite, diatomite and silicious fossil meals (e.g. diatomite); and other natural fluxes; natural asphalt or bitumen and other mining n.e.c."
08998,Mining of talc/ steatite
08997,"Mining of felspar and silica minerals including quartz, quartzite and fuch. Quartzite"
08996,"Mining of vermiculite, perlite and chlorites"
08995,Mining of asbestos
08994,Mining of natural graphite
08993,Mining of mica
08992,"Mining and quarrying of abrasive materials (pumice stone, emery, corundum, garnet and other natural abrasives)"
08991,"Mining of gemstones (agate, diamond, emerald, garnet (gem), jasper, rubby/ saphire etc."
08990,Other mining and quarrying n.e.c.
08932,Salt production by evaporation of sea water or other saline waters
08931,"Salt mining, quarrying, screening etc."
08930,Extraction of salt
08920,Extraction and agglomeration of peat
08919,Mining of potash bearing salts/minerals; borate minerals and other fertiliser and chemical minerals n.e.c.
08915,Mining of barytes
08914,Mining of fluorspar
08913,Mining of earth colours (ochre including red oxide).
08912,Mining of natural phosphates including apatite minerals
08911,Mining of native sulphur or pyrites and pyrrhotites valued chiefly for sulphur
08910,Mining of chemical and fertilizer minerals
08109,"Mining of refractory non-clay minerals (andalusite, kyanite, sillimanite, dunite, diaspore magnesite, diaspore, magnesite)"
08108,"Mining of clays (kaolin, ball clay, wollastonite, bentonite, fuller’s earth, fire clay etc. )"
08107," Mining/quarrying of limestone, limeshell, ‘kankar’ and other calcareous minerals including calcite, chalk and shale"
08106,"Operation of sand or gravel pits, basalt / porphyry, clay (ordinary), crushing and breaking of stone for use as a flux or raw material in lime or cement, manufacture or as building material, road metal or ballast and other materials for construction"
08105,Mining of gypsum including selenite
08104,Mining of dolomite
08103,Quarrying of slate and building and monumental stone other than marble and granite
08102,Quarrying of granite
08101,Quarrying of marble
08100,"Quarrying of stone, sand and clay"
07299,"Mining of other non-ferrous metal ores, n.e.c. [titanium ( ilmenite and rutile) ,niobium, tantalum, vanadium or zirconium ores; tin bearing ores; and, nickel, cobalt, tungsten,  metal ores]molybdenum, antimony and other non-ferrous"
07296,Mining of lead and znic ore
07295,"Mining of precious metal ore (gold, silver)"
07294,Mining of chromium ore
07293,Mining of manganese ore
07292,Mining of aluminium ore (bauxite)
07291,Mining of copper ore
07290,Mining of other non-ferrous metal ores
07210,Mining of uranium and thorium ores
07100,Mining of iron ores
06202,On shore Extraction of natural gas
06201,Offshore Extraction of natural gas
06200,Extraction of natural gas
06102,On shore extraction of crude petroleum
06101,Off shore extraction of crude petroleum
06100,Extraction of crude petroleum
05209,Other operations relating to mining and agglomeration of lignite
05203,"Washing, dehydrating, pulverizing, compressing of lignite"
05202,Belowground mining of lignite (brown coal)
05201,Opencast mining of lignite (brown coal)
05200,Mining of lignite
05109,Other operations relating to mining and agglomeration of hard coal
05103,"Cleaning, sizing, grading, pulverizing, compressing etc. of coal"
05102,Belowground mining of hard coal
05101,Opencast mining of hard coal
05100,Mining of hard coal
03229,"Other freshwater aquaculture ctivities, n.e.c."
03223,Operation of fish hatcheries (fresh-water)
03222,"Culture of freshwater crustaceans, bivalves, other mollusks and other aquatic animals"
03221,Fish farming in freshwater including farming of freshwater ornamental fish
03220,Freshwater aquaculture
03219,"Other marine aquaculture, n.e.c."
03215,Operation of fish hatcheries (marine)
03214,Aquaculture activities in brackish waters and in salt water filled tanks or reservoirs
03213,Growing of edible seaweeds
03212,"Culture of crustaceans, bivalves, other mollusks and other aquatic animals in sea water"
03211,Fish farming in sea water including farming of marine ornamental fish
03210,Marine aquaculture
03122,Taking and gathering of freshwater aquatic animals
03121,Fishing and taking of freshwater crustaceans and molluscs on a commercial basis in inland waters
03120,Freash water fishing
03113,Activities of vessels engaged in fishing and in processing and preserving of fish
03112,"Gathering of other marine organisms and materials such as natural pearls, sponges, coral and algae"
03111,Fishing on a commercial basis including taking of marine crustaceans and molluscs in ocean and coastal waters
03110,Marine fishing
02402,Logging service activities such as transport of logs within the forest
02401,"Forestry service activities (forest management consulting services, forestry inventories, timber evaluation, forest pest control)"
02400,Support services to forestry
02309,"Gathering of non-wood forest products, n.e.c."
02303,"Gathering of wild growing mushrooms, truffles, berries, nuts, cork, balsams, vegetable hair, eelgrass, mosses, lichens"
02302,"Gathering of lac, resins and rubber-like gums"
02301,Gathering of tendu leaves
02300,Gathering of non-wood forest products
02209,"Other logging activities, n.e.c."
02203,Production of charcoal in the forest (using traditional methods)
02202,"Logging camps and loggers primarily engaged in felling timber and producing wood in the rough such as pitprops, split poles, pickets, hewn railway ties"
02201,Gathering and preparation of fire wood
02200,Logging
02109,"Other foresty activities including growing of pulpwood,firewood etc"
02102,Operation of forest tree nurseries
02101,"Growing of standing timber (planting, replanting, transplanting, thinning and conserving of forests and timber tracts)"
02100,Silviculture and other forestry activities
01700,"Hunting, trapping and related service activities"
01640,Seed processing for propagation
01639,"Other post harvest crop activities, n.e.c."
01633,Preparation of tobacco leaves
01632,"Cotton ginning, cleaning and bailing"
01631,"Preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting"
01630,Post-harvest crop activities
01620,Support activities for animal production
01619,"Other supporting activities including agricultural gardening (excluding parks and gardening activities),n.e.c."
01612,Operation of agricultural irrigation equipment
01611,"Agricultural activities on a fee or contract basis (preparation of fields, establishing a crop, treatment of crops, crop spraying, trimming of fruit trees and vines, transplanting of rice, thinning of beets, harvesting, pest control in connection with agriculture etc.)"
01610,Support activities for crop production
01500,Mixed farming
01499,"Raising of other animals, n.e.c."
01493,"Raising of silk worms, production of silk worm cocoons"
01492,Bee-keeping and production of honey and beeswax
01491,"Raising and breeding of pet animals (cats, dogs, birds, hamsters etc.)"
01490,Raising of other animals
01463,Operation of poultry hatcheries
01462,Production of eggs
01461,"Raising and breeding of chickens and capons, ducks, geese, turkeys and guinea fowls chickens and capons, ducks, geese, turkeys and guinea fowls"
01460,Raising of poultry
01450,Raising of swine/pigs (including breeding of swine/pigs)
01443,Production of raw wool
01442,Production of milk from sheep or goat
01441,Raising and breeding of sheep and goats
01430,Raising and breeding of camels and camelids
01420,Raising of horses and other equines
01413,Production of bovine semen
01412,Production of milk from cows or buffaloes
01411,Raising and breeding of cattle and buffaloes
01410,Raising of cattle and buffaloes
01301,Growing of plants for planting
01300,Plant propagation
01299,"Growing of other perennial crops, n.e.c."
01293,Growing of bamboo and cane
01292,Growing of trees for extraction of sap
01291,Growing of rubber trees
01290,Growing of other perennial crops
01287,Growing of heena leaves (mehendi)
01286,"Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes"
01285,Growing of drug and narcotic crops
01284,"Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)"
01283,Growing of cardamoms
01282,Growing of chili
01281,Growing of ginger
01280,"Growing of spices, aromatic, drug and pharmaceutical crops"
01279,Growing of other beverage crops
01273,Growing of cocoa
01272,Growing of coffee
01271,Growing of tea
01270,Growing of beverage crops
01269,Growing of other oleaginous fruits
01262,Growing of olives and oil palms
01261,Growing of coconut
01260,Growing of oleaginous fruits
01259,"Growing of other tree and bush fruits, n.e.c."
01252,"Growing  of  edible  nuts (almonds,  cashew  nuts,  chestnuts,  hazelnuts, pistachios, walnuts and other nuts)"
01251,Growing of strawberries and other berries
01250,Growing of other tree and bush fruits and nuts
01249,Growing of other pome fruits and stone fruits
01243,Growing of cherries and sour cherries
01242,"Growing of appricots, peaches and nectarines"
01241,Growing of apples
01240,Growing of pome fruits and stone fruits
01239,Growing of other citrus fruits
01233,Growing of lemons and lime
01232,Growing of mousambi (grape fruit)
01231,Growing of oranges
01230,Growing of citrus fruits
01229,Growing of other tropical and sub tropical fruits
01225,Growing of guava
01224,Growing of lichchis
01223,Growing of pineapples
01222,Growing of bananas
01221,Growing of mangoes
01210,Growing of grapes
01199,"Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
01193,"Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
01192,Growing of gladiolus
01191,Growing of rose
01190,Growing of other non-perennial crop
01169,Growing of other fibre crops
01162,Growing of jute
01161,Growing of cotton
01160,Growing of fibre crops
01150,Growing of tobacco
01140,Growing of sugar cane
01139,"Growing of vegetables, n.e.c."
01137,Growing of vegetable seeds (except beet seed)
01136,Growing of mushrooms and truffles
01135,"Growing of potatoes and other tubers such as sweet potatoes, cassava, yams"
01134,"Growing  of  carrots,  beets,turnips,  garlic,  leeks  and  other  root,  bulb vegetables(onion excluded)"
01133,Growing of onion
01132,"Growing  of  cucumbers,  gherkins,  aubergines,  tomatoes,  watermelons, cantaloupes , melons and other fruit-bearing vegetables"
01131,"Growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory, spinach and other leafy or stem vegetables"
01130,"Growing of vegetables and melons, roots and tubers"
01124,Inorganic farming of non-basmati rice
01123,Inorganic farming of basmati rice
01122,Organic farming of non-basmati rice
01121,Organic farming of basmati rice
01120,Growing of rice
01119,Growing of other oil seeds
01118,Growing of soya bean oil seed
01117,Growing of sunflower oil seed
01116,Growing of groundnut oil seed
01115,Growing of mustard oil seed
01114,"Growing of pulses (dal) and other leguminous crops such as peas and beans, not used as oilseeds"
01113,Growing of other cereals
01112,"Growing of jowar, bajra and millets"
01111,Growing of wheat
01110,Growing of non-perennial crops
